Date,BE,VD,TI,VS,LU,ZH,BS,SG,GE
01-01-2019,1,1,1,1,1,1,1,1,1
01-02-2019,1,1,0,0,0,0,0,0,0
01-06-2019,0,0,1,0,0,0,0,0,0
01-06-2019,0,0,0,0,0,0,0,0,0
03-01-2019,0,0,0,0,0,0,0,0,0
03-19-2019,0,0,0,1,0,0,0,0,0
03-19-2019,0,0,1,0,1,0,0,0,0
04-04-2019,0,0,0,0,0,0,0,0,0
04-19-2019,1,1,0,0,1,1,1,1,1
04-22-2019,1,1,1,0,0,1,1,1,1
04-22-2019,0,0,0,0,0,0,0,0,0
05-01-2019,0,0,0,0,0,1,1,0,0
05-01-2019,0,0,1,0,0,0,0,0,0
05-30-2019,1,1,1,1,1,1,1,1,1
06-10-2019,1,1,0,0,0,1,1,1,1
06-10-2019,0,0,1,0,0,0,0,0,0
06-20-2019,0,0,0,1,1,0,0,0,0
06-20-2019,0,0,1,0,0,0,0,0,0
06-29-2019,0,0,1,0,0,0,0,0,0
08-01-2019,1,1,1,1,1,1,1,1,1
08-15-2019,0,0,1,1,1,0,0,0,0
09-05-2019,0,0,0,0,0,0,0,0,1
09-15-2019,1,0,0,0,1,1,1,1,0
09-16-2019,0,1,0,0,0,0,0,0,0
11-01-2019,0,0,1,1,1,0,0,1,0
12-08-2019,0,0,1,1,1,0,0,0,0
12-08-2019,0,0,0,0,0,0,0,0,0
12-25-2019,1,1,1,1,1,1,1,1,1
12-26-2019,1,0,1,0,1,1,1,1,0
12-26-2019,0,0,0,0,0,0,0,0,0
01-01-2020,1,1,1,1,1,1,1,1,1
01-02-2020,1,1,0,0,0,0,0,0,0
01-06-2020,0,0,1,0,0,0,0,0,0
01-06-2020,0,0,0,0,0,0,0,0,0
03-01-2020,0,0,0,0,0,0,0,0,0
03-19-2020,0,0,0,1,0,0,0,0,0
03-19-2020,0,0,1,0,1,0,0,0,0
04-04-2020,0,0,0,0,0,0,0,0,0
04-10-2020,1,1,0,0,1,1,1,1,1
04-13-2020,1,1,1,0,0,1,1,1,1
04-13-2020,0,0,0,0,0,0,0,0,0
05-01-2020,0,0,0,0,0,1,1,0,0
05-01-2020,0,0,1,0,0,0,0,0,0
05-21-2020,1,1,1,1,1,1,1,1,1
06-01-2020,1,1,0,0,0,1,1,1,1
06-01-2020,0,0,1,0,0,0,0,0,0
06-11-2020,0,0,0,1,1,0,0,0,0
06-11-2020,0,0,1,0,0,0,0,0,0
06-29-2020,0,0,1,0,0,0,0,0,0
08-01-2020,1,1,1,1,1,1,1,1,1
08-15-2020,0,0,1,1,1,0,0,0,0
09-10-2020,0,0,0,0,0,0,0,0,1
09-20-2020,1,0,0,0,1,1,1,1,0
09-21-2020,0,1,0,0,0,0,0,0,0
11-01-2020,0,0,1,1,1,0,0,1,0
12-08-2020,0,0,1,1,1,0,0,0,0
12-08-2020,0,0,0,0,0,0,0,0,0
12-25-2020,1,1,1,1,1,1,1,1,1
12-26-2020,1,0,1,0,1,1,1,1,0
12-26-2020,0,0,0,0,0,0,0,0,0
01-01-2021,1,1,1,1,1,1,1,1,1
01-02-2021,1,1,0,0,0,0,0,0,0
01-06-2021,0,0,1,0,0,0,0,0,0
01-06-2021,0,0,0,0,0,0,0,0,0
03-01-2021,0,0,0,0,0,0,0,0,0
03-19-2021,0,0,0,1,0,0,0,0,0
03-19-2021,0,0,1,0,1,0,0,0,0
04-02-2021,1,1,0,0,1,1,1,1,1
04-04-2021,0,0,0,0,0,0,0,0,0
04-05-2021,1,1,1,0,0,1,1,1,1
04-05-2021,0,0,0,0,0,0,0,0,0
05-01-2021,0,0,0,0,0,1,1,0,0
05-01-2021,0,0,1,0,0,0,0,0,0
05-13-2021,1,1,1,1,1,1,1,1,1
05-24-2021,1,1,0,0,0,1,1,1,1
05-24-2021,0,0,1,0,0,0,0,0,0
06-03-2021,0,0,0,1,1,0,0,0,0
06-03-2021,0,0,1,0,0,0,0,0,0
06-29-2021,0,0,1,0,0,0,0,0,0
08-01-2021,1,1,1,1,1,1,1,1,1
08-15-2021,0,0,1,1,1,0,0,0,0
09-09-2021,0,0,0,0,0,0,0,0,1
09-19-2021,1,0,0,0,1,1,1,1,0
09-20-2021,0,1,0,0,0,0,0,0,0
11-01-2021,0,0,1,1,1,0,0,1,0
12-08-2021,0,0,1,1,1,0,0,0,0
12-08-2021,0,0,0,0,0,0,0,0,0
12-25-2021,1,1,1,1,1,1,1,1,1
12-26-2021,1,0,1,0,1,1,1,1,0
12-26-2021,0,0,0,0,0,0,0,0,0
01-01-2022,1,1,1,1,1,1,1,1,1
01-02-2022,1,1,0,0,0,0,0,0,0
01-06-2022,0,0,1,0,0,0,0,0,0
01-06-2022,0,0,0,0,0,0,0,0,0
03-01-2022,0,0,0,0,0,0,0,0,0
03-19-2022,0,0,0,1,0,0,0,0,0
03-19-2022,0,0,1,0,1,0,0,0,0
04-04-2022,0,0,0,0,0,0,0,0,0
04-15-2022,1,1,0,0,1,1,1,1,1
04-18-2022,1,1,1,0,0,1,1,1,1
04-18-2022,0,0,0,0,0,0,0,0,0
05-01-2022,0,0,0,0,0,1,1,0,0
05-01-2022,0,0,1,0,0,0,0,0,0
05-26-2022,1,1,1,1,1,1,1,1,1
06-06-2022,1,1,0,0,0,1,1,1,1
06-06-2022,0,0,1,0,0,0,0,0,0
06-16-2022,0,0,0,1,1,0,0,0,0
06-16-2022,0,0,1,0,0,0,0,0,0
06-29-2022,0,0,1,0,0,0,0,0,0
08-01-2022,1,1,1,1,1,1,1,1,1
08-15-2022,0,0,1,1,1,0,0,0,0
09-08-2022,0,0,0,0,0,0,0,0,1
09-18-2022,1,0,0,0,1,1,1,1,0
09-19-2022,0,1,0,0,0,0,0,0,0
11-01-2022,0,0,1,1,1,0,0,1,0
12-08-2022,0,0,1,1,1,0,0,0,0
12-08-2022,0,0,0,0,0,0,0,0,0
12-25-2022,1,1,1,1,1,1,1,1,1
12-26-2022,1,0,1,0,1,1,1,1,0
12-26-2022,0,0,0,0,0,0,0,0,0
01-01-2023,1,1,1,1,1,1,1,1,1
01-02-2023,1,1,0,0,0,0,0,0,0
01-06-2023,0,0,1,0,0,0,0,0,0
01-06-2023,0,0,0,0,0,0,0,0,0
03-01-2023,0,0,0,0,0,0,0,0,0
03-19-2023,0,0,0,1,0,0,0,0,0
03-19-2023,0,0,1,0,1,0,0,0,0
04-04-2023,0,0,0,0,0,0,0,0,0
04-07-2023,1,1,0,0,1,1,1,1,1
04-10-2023,1,1,1,0,0,1,1,1,1
04-10-2023,0,0,0,0,0,0,0,0,0
05-01-2023,0,0,0,0,0,1,1,0,0
05-01-2023,0,0,1,0,0,0,0,0,0
05-18-2023,1,1,1,1,1,1,1,1,1
05-29-2023,1,1,0,0,0,1,1,1,1
05-29-2023,0,0,1,0,0,0,0,0,0
06-08-2023,0,0,0,1,1,0,0,0,0
06-08-2023,0,0,1,0,0,0,0,0,0
06-29-2023,0,0,1,0,0,0,0,0,0
08-01-2023,1,1,1,1,1,1,1,1,1
08-15-2023,0,0,1,1,1,0,0,0,0
09-07-2023,0,0,0,0,0,0,0,0,1
09-17-2023,1,0,0,0,1,1,1,1,0
09-18-2023,0,1,0,0,0,0,0,0,0
11-01-2023,0,0,1,1,1,0,0,1,0
